words,ocurrences
panic,680
fear,1899
sad,1873
mental,1161
mind,1315
sorry,1476
shame,1234
hate,1386
hell,1233
bad,2884
feel,2743
feeling,721
shit,2296
worst,1505
worse,1874
blame,2327
lonely,115
chaos,420
mad,437
ruined,114
anxiety,543
stress,533
stressed,147
phobia,5
shame,1234
hurt,389
disorder,64
loneliness,66
turmoil,74
anger,442
horror,172
rage,88
fate,110
nervous,81
restless,13
depression,408
grief,171
worry,901
worried,780
angst,8
depressed,88
suicide,280
suffer,420
suffering,963
uncertainty,358
uneasy,12
sadness,66
afraid,519
alone,1300
suicidal,48
mood,152
tension,87
anxious,160
desperate,319
dismal,19
exhausted,96
insecure,30
distress,113
distressed,18
frustration,110
disgusting,552
boredom,92
bored,258
insane,441
stupidity,773
bullshit,639
uncertain,170
displeased,4
uncomfortable,46
melancholy,1
overwhelmed,281
pessimistic,13
unhappy,35
upset,166
outrage,144
ass,960
damn,1088
covidiot,501
terrify,4
terrified,97
terrifying,197
distrust,49
scare,255
scared,481
scaring,28
dread,26
failed,1772
failed,1772
failure,1428
fuck,1945
fucking,1777
miserable,70
regret,82
shock,229
shocked,274
negligence,510
betrayed,25
cry,281
crying,293
idiot,909
idiots,1222
selfish,533
upheaval,22
mess,470
crisis,9318
horrible,419
violence,549
abuse,386
rape,36
stupid,2199
